<METADATA>
<File Name> ./SiouxFalls/SiouxFalls_MIX_0.02_0.90_1.20_route.txt
<Number of Pairs> 576
<Number of Zones> 24
<theta | lambda> 0.020000 | 0.000000
<stoch | determ> 0.100000 | 0.900000
<distant tolerance> 1.200000
<optimal objective> 9963675.212417
<system cost> 11756647.143605

<ROUTES>
<PATHS>
~ Origin | Destination | Flow | Cost
 1	6.001
 1	4.006
 1	8.209
 1	10.593
 1	12.688
 2	37.374
 2	32.013
 1	18.930
 1	24.359
 1	18.432
 1	8.016
 1	11.040
 3	48.906
 3	47.662
 2	44.907
 2	45.686
 2	39.447
 2	58.812
 2	43.558
 2	47.707
 3	52.484
 3	51.789
 2	44.406
 1	6.001
 1	10.006
 2	18.852
 2	19.231
 1	6.687
 2	37.098
 2	31.737
 2	27.567
 2	42.501
 2	29.075
 1	14.016
 1	17.041
 4	54.006
 2	59.625
 2	45.275
 2	49.952
 2	63.769
 2	43.283
 3	56.199
 1	4.006
 1	10.006
 1	4.204
 1	6.588
 2	19.233
 2	38.683
 2	33.322
 1	14.924
 1	20.354
 1	14.426
 1	4.010
 1	7.035
 3	44.901
 3	43.657
 2	45.523
 2	42.505
 3	48.479
 3	47.784
 1	8.209
 2	18.845
 1	4.204
 1	2.384
 2	19.330
 2	34.479
 2	29.118
 1	10.721
 1	16.150
 1	10.223
 1	8.214
 1	11.239
 3	40.697
 2	35.359
 2	41.319
 2	38.301
 2	36.553
 2	50.832
 2	40.664
 2	43.984
 4	47.406
 4	44.761
 2	42.997
 1	10.595
 2	19.223
 1	6.589
 1	2.386
 2	19.072
 2	32.095
 2	26.734
 1	8.336
 1	13.766
 1	12.608
 1	10.599
 1	13.624
 3	41.118
 1	29.488
 2	38.935
 2	35.917
 2	48.448
 2	38.280
 2	42.504
 3	42.002
 4	45.524
 1	12.688
 1	6.688
 2	19.243
 2	19.343
 2	19.086
 2	35.128
 2	29.767
 2	27.423
 2	50.234
 2	29.566
 2	23.253
 2	26.278
 4	55.832
 2	64.931
 2	44.001
 2	53.344
 2	37.202
 2	68.093
 2	41.313
 2	51.318
 3	56.212
 5	60.315
 3	56.187
 2	37.420
 2	37.148
 2	38.729
 2	34.525
 2	32.140
 2	35.181
 1	5.380
 2	30.248
 2	36.028
 2	51.579
 2	42.739
 2	43.387
 5	46.354
 4	33.689
 1	5.186
 2	31.820
 1	2.074
 2	31.234
 1	6.185
 1	16.190
 2	18.671
 2	30.933
 2	30.888
 2	32.040
 2	31.768
 2	33.349
 2	29.146
 2	26.760
 2	29.802
 1	5.361
 1	11.322
 2	29.995
 3	47.052
 2	37.359
 2	40.384
 4	51.452
 2	44.488
 2	13.092
 2	32.755
 1	7.434
 3	37.492
 1	11.545
 1	21.550
 2	24.032
 2	43.225
 2	36.248
 1	18.942
 2	27.570
 1	14.936
 1	10.732
 1	8.347
 2	27.419
 2	30.295
 1	11.309
 1	5.430
 2	19.615
 2	25.261
 2	28.286
 4	38.942
 1	21.151
 2	35.769
 2	25.447
 2	32.530
 2	37.134
 2	36.640
 2	34.168
 3	33.666
 4	44.726
 4	48.138
 1	24.417
 2	42.698
 1	20.412
 1	16.208
 1	13.823
 2	50.389
 2	36.057
 2	30.133
 1	5.476
 2	18.764
 2	26.293
 2	29.318
 3	36.231
 1	15.722
 2	41.060
 2	20.017
 2	38.119
 2	31.705
 3	39.050
 3	36.941
 4	36.619
 5	43.876
 4	48.551
 1	18.633
 2	29.269
 1	14.628
 1	10.424
 1	12.808
 2	29.754
 2	51.716
 3	47.278
 2	19.571
 2	18.630
 2	16.967
 2	19.992
